INFO: 2025/06/20 23:50:29 Emergency entity ID key rotation completed
INFO: 2025/06/20 23:50:29 Cleaned up entity ID keys older than 2025-05-21
INFO: 2025/06/20 23:51:56 Emergency entity ID key rotation completed
INFO: 2025/06/20 23:51:56 Cleaned up entity ID keys older than 2025-05-21
INFO: 2025/06/20 23:52:53 Emergency entity ID key rotation completed
INFO: 2025/06/20 23:52:53 Cleaned up entity ID keys older than 2025-05-21
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 52615bc26cc8ae15 | Window: 2025-06-20 | Severity: INFO | User: test@example.com | Profile: ArgonBalanced
WARNING: 2025/06/20 23:52:53 Security Event: opaque_login_failure | Entity: 09abb09babe4286d | Window: 2025-06-20 | Severity: WARNING
WARNING: 2025/06/20 23:52:53 Security Event: rate_limit_violation | Entity: 29297e934826a92f | Window: 2025-06-20 | Severity: WARNING
INFO: 2025/06/20 23:52:53 Security Event: key_health_check | Entity:  | Window:  | Severity: INFO
ERROR: 2025/06/20 23:52:53 Security Event: emergency_procedure | Entity:  | Window:  | Severity: CRITICAL | User: admin@example.com
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 6aa4f640a7ca9560 | Window: 2025-06-20 | Severity: INFO | User: test@example.com
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
WARNING: 2025/06/20 23:52:53 Security Event: opaque_login_failure | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: WARNING
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
WARNING: 2025/06/20 23:52:53 Security Event: opaque_login_failure | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: WARNING
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
INFO: 2025/06/20 23:52:53 Security Event: opaque_login_success | Entity: 5a3e5acfc6ca9329 | Window: 2025-06-20 | Severity: INFO
